GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Stock Market Simulator,com.stockmarket.logic,Order,23,45,5,5,5,15,6,5,1,5
Stock Market Simulator,com.stockmarket.logic,AssetPosition,20,68,4,4,4,20,4,8,0,8
Stock Market Simulator,com.stockmarket.logic,MarketData,0,66,1,11,0,14,1,8,0,3
Stock Market Simulator,com.stockmarket.logic,PortfolioReportGenerator,0,172,1,11,0,43,1,8,0,3
Stock Market Simulator,com.stockmarket.logic,PortfolioFileWriter,76,101,11,11,23,32,9,5,0,3
Stock Market Simulator,com.stockmarket.logic,OrderComparator,9,65,3,13,1,17,3,7,0,2
Stock Market Simulator,com.stockmarket.logic,AssetType,0,21,0,0,0,4,0,1,0,1
Stock Market Simulator,com.stockmarket.logic,OrderType,0,15,0,0,0,3,0,1,0,1
Stock Market Simulator,com.stockmarket.logic,SellResult,9,26,1,1,2,7,2,3,1,3
Stock Market Simulator,com.stockmarket.logic,InsufficientHoldingsException,0,4,0,0,0,2,0,1,0,1
Stock Market Simulator,com.stockmarket.logic,DataIntegrityException,5,4,0,0,2,2,1,1,1,1
Stock Market Simulator,com.stockmarket.logic,PortfolioFileReader,32,170,10,18,5,41,9,9,0,2
Stock Market Simulator,com.stockmarket.logic,PurchaseLot,25,42,5,5,3,15,5,5,0,5
Stock Market Simulator,com.stockmarket.logic,Portfolio,37,292,8,30,9,66,9,23,2,11
Stock Market Simulator,com.stockmarket.logic,LotClosure,6,15,0,0,2,6,2,2,2,2
Stock Market Simulator,com.stockmarket.logic,RecordType,21,0,0,0,4,0,1,0,1,0
Stock Market Simulator,com.stockmarket.logic,PortfolioReportGenerator.new Comparator() {...},28,6,2,0,5,1,2,1,1,1
Stock Market Simulator,com.stockmarket.domain,Currency,13,40,2,2,3,10,3,3,1,3
Stock Market Simulator,com.stockmarket.domain,Commodity,13,53,2,2,3,12,3,4,1,4
Stock Market Simulator,com.stockmarket.domain,Share,0,34,0,0,0,8,0,3,0,3
Stock Market Simulator,com.stockmarket.domain,Asset,25,47,7,7,5,15,7,5,0,5
